Время,WELL_ID,WELL_OP_ID,CASING_DIAMETER,TUBING_DIAMETER,CHOKE_DIAMETER,PERF_DEPTH,PERF_DEPTH_DELTA,PROD_METHOD,PUMP_TYPE,PUMP_CAPACITY,LIQ_RATE_TH,PUMP_FREQ,PUMP_DEPTH,BUFFER_PRESSURE,INLINE_PRESSURE,SHUT_PRESSURE,LIQUID_LEVEL_DYN,CASING_PRESSURE,INTAKE_PRESSURE,FLOW_PRESSURE,OIL_RATE,LIQ_RATE,WATER_CUT,STATUS,BUBBLE_POINT_PRESSURE,GAS_FACTOR,SKIN,JD,OIL_VISCOSITY,LIQUID_VISCOSITY,OIL_COMPRESSIBILITY,OIL_DENSITY,WATER_DENSITY,PERF_THICKNESS,KH,PI,LIQ_RATE_TP_TECH,LIQ_RATE_TP_CORR_TECH,OIL_RATE_TP_TECH,JD_OPT,SKIN_CALC,PI_TP_SKIN,LIQ_RATE_TP_SKIN_CORR_TECH,LIQ_RATE_TP_SKIN_TECH,OIL_RATE_TP_SKIN_TECH,PEK,STAB_TIME,REMARKS,START_DATE,STOP_DATE,CONTOUR_RADIUS,IS_EFFICIENT,NON_STABLE,LAYER_FLOW_PRESSURE_FACT,SATURATED_THICKNESS,STATIC_CASING_PRESSURE,STATIC_LEVEL,PUMP_CURRENT,ROCKING_COUNT,PLUNGER_STROKE_LENGTH,PLUNGER_DIAMETER,ROD_TYPE,LIQ_RATE_TP,LIQ_RATE_TP_CORR,OIL_RATE_TP,LIQ_RATE_TP_SKIN,LIQ_RATE_TP_SKIN_CORR,OIL_RATE_TP_SKIN,ACT_TIME,PERIODICITY_TIME,PERIODICITY_WORK_TIME,PUMP_INSTALL_DATE,PAKER_TYPE_ID,PAKER_INSTALL_DATE,PAKER_DEPTH,PI_FIXED,KH_FIXED,PACKED_LIQ_RATE,LIQUID,OIL,CONFIRMED,UPSERTED_BY,UPSERTED_ON,SHUT_PRESSURE_INIT,MOTOR_TYPE,REPAIR_TYPE,START_AFTER_REPAIR,PUMP_CURRENT_NOM,SEPARATION_FACTOR,TEMPERATURE,WATER_VISCOSITY,TARGET_FLOW_PRESSURE
2013-03-20,11639,141147,146.0,0.0,18.0,2510.12,0.0,11,25,25.0,2000.0,50.0,2462.0,8.0,7.0,200.0,1921.0,13.0,0.0,64.8255527486393,0.7,2.0,57.0,1,162.0,161.0,-4.0,0.0,0.86,0.934579439252336,1.428,0.825,1.014,10.0,1.27142736457859,0.0183036081285403,-0.163780622191127,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,1900/06/13 00:00:00.000,1900/01/01 00:00:00.000,250.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,
2014-11-20,11639,168624,130.6,60.0,0.0,2585.0,74.915,11,176,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,10.0,0.0,51.9802232258426,0.75423,3.0,69.0,22,156.0,555.907,0.0,0.0,0.41,1.16466932978251,1.473,0.811,1.006,10.0,5.42155707982262,0.0305378683299955,3.0,3.0,0.75423,0.0,0.0,0.0,0.0,0.0,0.0,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,
2014-10-20,11639,173008,130.6,60.0,0.0,2585.0,74.915,11,176,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,10.0,0.0,51.8687980233047,0.75423,3.0,69.0,22,156.0,600.44,0.0,0.0,0.41,1.16466932978251,1.473,0.811,1.006,10.0,5.36145359510362,0.0305248158114037,3.0,3.0,0.75423,0.0,0.0,0.0,0.0,0.0,0.0,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,
2014-09-20,11639,177289,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,51.2728880273497,0.75423,3.0,69.0,22,156.0,374.0,-3.0,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.15226355027477,0.030452334724315,3.0,3.0,0.8,1.06078065077185,-6.13134404954848,0.215725051546005,21.25,21.25,5.3424625,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,2,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2014-08-20,11639,181599,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,51.2728880273497,0.8,3.0,69.0,22,156.0,374.0,-3.0,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.15226355027477,0.030452334724315,3.0,3.0,0.8,1.06078065077185,-6.13134404954848,0.215725051546005,21.25,21.25,5.3424625,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,2,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2014-07-20,11639,185951,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,51.2728880273497,0.75423,3.0,69.0,22,156.0,374.0,-3.0,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.15226355027477,0.030452334724315,3.0,3.0,0.75423,1.06078065077185,-6.13134404954848,0.215725051546005,21.25,21.25,5.3424625,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,2,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2014-06-20,11639,190314,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,50.0711577797245,0.75423,3.0,69.0,22,156.0,674.0,-3.0,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.1337301694062,0.0303164125433288,3.0,3.0,0.75423,1.06078065077185,-6.13134404954848,0.215725051546005,21.35,21.35,5.3676035,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,2,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2014-05-20,11639,194696,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,50.0711577797245,0.75423,3.0,69.0,22,156.0,674.0,-5.53,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.1337301694062,0.0303164125433288,3.0,3.0,0.75423,1.06078065077185,-6.13134404954848,0.215725051546005,21.35,21.35,5.3676035,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2014-04-20,11639,199096,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,50.0711577797245,0.8,3.0,69.0,22,156.0,674.0,-5.53,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.1337301694062,0.0303164125433288,3.0,3.0,0.8,1.06078065077185,-6.13134404954848,0.215725051546005,21.35,21.35,5.3676035,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2014-03-20,11639,203488,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,50.0711577797245,0.8,3.0,69.0,22,156.0,674.0,-5.53,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.1337301694062,0.0303164125433288,3.0,3.0,0.8,1.06078065077185,-6.13134404954848,0.215725051546005,21.35,21.35,5.3676035,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2014-02-20,11639,207813,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,50.0711577797245,0.75423,3.0,69.0,22,156.0,674.0,-5.53,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.1337301694062,0.0303164125433288,3.0,3.0,0.75423,1.06078065077185,-6.13134404954848,0.215725051546005,21.35,21.35,5.3676035,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2014-01-20,11639,212183,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,9.0,8.0,169.0,2028.0,9.5,0.0,50.0711577797245,0.75423,3.0,69.0,2,156.0,674.0,-5.53,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.1337301694062,0.0303164125433288,3.0,3.0,0.75423,1.06078065077185,-6.13134404954848,0.215725051546005,21.35,21.35,5.3676035,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2013-12-20,11639,216635,130.6,73.0,18.0,2585.0,74.88,11,25,25.0,2000.0,50.0,2462.0,11.0,10.0,169.0,2028.0,11.0,0.0,51.7355757145095,0.8,3.0,69.0,2,156.0,674.0,-5.53,0.0,0.41,2.14081749204536,1.473,0.811,1.014,10.0,4.15968347737714,0.0305067518153825,3.0,3.0,0.8,1.06078065077185,-6.13134404954848,0.215725051546005,21.21,21.21,5.3324061,58.4,0.0,,2012/09/29 00:00:00.000,1900/01/01 00:00:00.000,250.0,1,0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,8.5,0.0,0.0,0.0,1,,,,,,,,,,,
2012-08-20,11639,351732,146.0,0.0,33.0,2740.0,75.77,1,0,0.0,0.0,0.0,2664.23,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0,0.0,161.0,0.0,0.0,0.86,0.86,1.428,0.825,1.014,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000,250.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,744,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,
2012-09-20,11639,351733,146.0,0.0,18.0,2585.0,75.77,11,25,0.0,0.0,0.0,2509.23,9.0,8.0,200.0,1937.0,8.0,51.0,0.0,2.5,7.0,57.0,1,0.0,161.0,-4.0,0.0,0.86,0.934579439252336,1.428,0.825,1.014,10.0,4.27959518374777,0.0616095227886423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1900/01/01 00:00:00.000,1900/01/01 00:00:00.000,250.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.0,2.48325,0.0,0.0,0.0,720,0,0,1900/01/01 00:00:00.000,0,1900/01/01 00:00:00.000,0.0,0.0,0.0,0.0,210.0,75.0,1,,,,,,,,,,,
